symbol,signal_count
EXK,34
EXP,1063
EXPD,3385
EXPE,2086
EYE,49
EZU,1980
F,6687
FAF,142
FANG,1626
FAS,2343
FAST,5364
FBIN,1752
FBND,141
FBTC,147
FCN,334
FCNCA,585
FCX,3172
FDN,1037
FDVV,3
FDX,4394
FE,2959
FENY,54
FERG,463
FETH,15
FEZ,1622
FFIV,3261
FHN,1365
FITB,3847
FIVE,1285
FIX,336
FL,2108
FLEX,2763
FLG,178
FLOT,967
FLR,2504
FLS,2090
FLUT,216
FMC,2472
FN,289
FNB,56
FND,839
FNDX,747
FNF,2338
FOUR,546
FOX,171
FOXA,812
FR,386
FSLR,2292
FSM,95
FSS,34
FTEC,112
FTI,3070
FTNT,2361
FUTU,595
FWONK,750
FXI,42
FYBR,219
G,260
GBTC,1000
GD,6154
GDS,412
GDX,2304
GE,7522
GEHC,271
GEN,4441
GENI,25
GEV,99
GFI,1557
GFS,347
GGG,1397
GGLL,62
GH,646
GILD,4409
GKOS,284
GL,1761
GLIBA,77
GLPI,650
GLW,4670
GM,1857
GMS,35
GNRC,900
GNTX,1833
GNW,1193
GOOG,3097
GOOGL,3116
GOVT,811
GPC,1901
GPI,166
GPK,852
GPN,2790
GRMN,2654
GS,3693
GTLB,366
GTLS,562
H,908
HAL,5971
HALO,344
HAS,2548
HBAN,2441
HBM,58
HCC,73
HD,6073
HDB,2906
HEI,685
HESM,80
HGV,65
HII,1277
HIMS,246
HL,703
HLI,184
HLNE,109
HLT,1613
HOG,3774
HOLX,2400
HON,5450
HOOD,487
HPE,1164
HPQ,8441
HR,240
HRI,978
HSAI,96
HSBC,2313
HST,2603
HSY,3530
HTZ,155
HUBB,657
HUM,3192
HUT,192
HWC,15
HWM,1263
HXL,215
HYG,2316
IBB,3435
IBIT,147
IBN,2997
IBP,144
ICE,2857
ICLR,582
ICSH,325
IDA,50
IDCC,366
IDEV,174
IDXX,2344
IEF,2049
IEFA,1488
IEI,1324
IEMG,1565
IESC,41
IEUR,212
IGIB,1611
IGSB,2083
IGV,1962
IJH,3628
IJR,3756
ILMN,2771
INCY,1694
INDV,4
INFA,117
ING,557
INKT,18
INOD,140
INSM,207
INTC,5623
INTU,4917
IONQ,329
IONS,1033
IP,5051
IPG,2663
IQV,1497
IR,933
IRDM,47
IREN,185
ITA,1126
ITB,2009
ITOT,1367
ITRI,368
ITT,2294
ITW,4087
IUSB,406
IUSG,468
IUSV,337
IVE,1956
IVV,3663
IVW,3429
IVZ,2291
IWB,2712
IWD,3215
IWF,3276
IWM,3730
IWN,3451
IWO,3328
IWP,2601
IWR,3220
IWS,1274
IWY,384
IXUS,941
IYR,3261
IYW,2579
J,2775
JAAA,304
JAZZ,1685
JBHT,2610
JBL,2482
JBTM,102
JCI,4471
JEF,822
JEPI,544
JEPQ,399
JETS,637
JHX,48
JLL,935
JNJ,6456
JNK,1776
JOBY,202
JPM,5118
JPST,878
JQUA,13
KBE,2090
KBH,2433
KBWB,470
KDP,2286
KEX,237
KEY,2838
KEYS,1083
KGC,1388
KHC,1463
KIM,2509
KKR,1638
KLAC,4508
KLG,16
KNSL,329
KNX,1114
KOLD,450
KR,5571
KRC,352
KRE,2404
KRYS,139
KSS,3639
KTOS,115
KWEB,787
L,4559
LABU,207
LAMR,701
LAZ,164
LDOS,1249
LEA,2058
LECO,376
LEGN,117
LEN,3425
LEU,131
LEVI,116
LH,3360
LHX,2316
LIF,38
LII,1448
LIN,4089
LITE,1006
LLY,6758
LMND,156
LNC,2831
LNT,1879
LNW,583
LOGI,317
LOW,5849
LPLA,1097
LPX,946
LQD,2308
LRCX,5109
LSCC,1416
LTH,82
LUNR,211
LUV,5272
LVS,2612
LYB,2166
LYV,1277
M,4107
MAGS,112
MANH,947
MAR,3637
MARA,655
MAS,3483
MBB,1177
MC,106
MCHI,1206
MCHP,4454
MCO,3799
MDB,1031
MDGL,343
MDLZ,3394
MDT,7177
MDY,4211
MEDP,497
META,2064
METC,15
MGA,3158
MGK,835
MGM,3082
MGNI,152
MGY,204
MHK,2008
MIDD,1337
MINT,1309
MIR,50
MKL,721
MKSI,698
MLI,405
MLM,2293
MMM,6863
MOAT,358
MOD,268
MOS,2516
MP,445
MPC,1951
MPWR,947
MRK,8413
MRNA,661
MRVL,3300
MS,4717
MSCI,1385
MSFT,5822
MSI,6416
MSM,219
MSTR,3248
MSTU,12
MSTX,25
MT,1395
MTB,2661
MTCH,2473
MTD,1612
MTDR,598
MTH,1388
MTN,1230
MTSI,270
MTUM,1196
MTZ,763
MU,4835
MUFG,77
MUR,3182
NAIL,188
NBIS,1257
NBIX,1200
NCLH,1435
NDAQ,3083
NDSN,521
NE,261
NEE,6094
NEGG,4
NEM,3420
NET,799
NEU,49
NFG,77
NI,3568
NKE,6539
NLR,10
NLY,710
NNE,58
NNN,662
NOBL,294
NOC,4233
NOV,2800
NRG,2815
NSC,3468
NTAP,4077
NTES,3325
NTLA,245
NTRS,3765
NU,427
NUE,4590
NUGT,993
NVDA,3912
NVDL,234
NVDU,126
NVDX,37
NVDY,59
NVMI,83
NVR,1729
NVS,2808
NVST,363
NVT,379
NVTS,51
NWSA,641
NXE,94
NXPI,2015
NXST,712
NXT,248
O,1935
OC,1960
ODFL,3078
OEF,1916
OHI,1188
OIH,1685
OKLO,152
OLLI,877
OLN,922
OMC,3683
OMF,346
ON,2897
ONB,143
ONC,613
ONTO,258
ORCL,5813
OSK,1098
OUST,36
OVV,796
OWL,357
OXY,3921
OZK,429
PAAS,925
PARA,2850
PB,85
PBF,1088
PBR,3313
PBUS,28
PCAR,5053
PCOR,342
PCS,471
PCT,32
PDBC,496
PDD,794
PEG,3780
PENN,908
PEP,5927
PFE,7035
PFF,1945
PFG,2658
PFGC,603
PGX,227
PGY,36
PH,3450
PHM,3638
PHYS,252
PI,235
PII,2257
PINS,753
PIPR,17
PJT,28
PKG,1793
PLD,2504
PLNT,1048
PLTR,616
PNC,3693
PNFP,182
PNR,2049
PNW,1525
POOL,705
POWL,206
PPG,3869
PPL,3262
PR,626
PRIM,87
PSIX,12
PSLV,280
PSN,234
PSTG,1056
PSX,1715
PTC,1865
PTEN,2662
PULS,415
PVH,2200
PWR,1992
PYLD,47
PYPL,1378
QBTS,124
QCOM,4670
QGEN,538
QLD,2980
QQQ,4116
QQQI,49
QQQM,604
QRVO,1599
QS,287
QUAL,1146
QUBT,127
QXO,91
QYLD,554
R,512
RACE,1060
RBA,412
RBC,150
RBLX,495
RCAT,88
RCI,21
RCL,2999
RDDT,97
RDVY,145
REGN,1968
REXR,505
RF,2577
RGTI,112
RH,1632
RHP,222
RIO,3007
RIOT,641
RITM,484
RJF,1753
RKLB,260
RKT,166
RL,2714
RMBS,1163
RMD,2452
RNA,89
ROIV,232
ROK,3027
ROKU,876
RPM,604
RPRX,471
RRR,10
RRX,454
RS,1214
RSP,2069
RTX,8062
RUBI,43
RUN,574
RVTY,1101
RXRX,187
RY,1689
RYAAY,2635
RYTM,37
S,408
SAIA,511
SAN,501
SAND,31
SANM,282
SATS,79
SBAC,2366
SBSW,175
SBUX,4754
SCCO,2120
SCHA,1733
SCHB,2387
SCHD,1564
SCHF,1472
SCHG,1946
SCHH,845
SCHO,707
SCHP,891
SCHV,1092
SCHW,4712
SCHX,2240
SCI,744
SCZ,1005
SDVY,67
SEDG,780
SEI,7
SEIC,151
SEZL,183
SF,318
SG,165
SGI,3054
SHAK,793
SHEL,4684
SHLD,39
SHOP,1497
SHY,2242
SHYG,551
SIG,1170
SIL,71
SILJ,43
SIRI,184
SITE,271
SJM,1864
SJNK,961
SKX,1933
SLAB,567
SLB,5809
SLM,4473
SLNO,102
SLV,2256
SM,1578
SMCI,1469
SMCX,39
SMG,551
SMH,3722
SMMT,126
SMR,190
SMTC,500
SN,202
SNA,1416
SNAP,967
SNOW,529
SNPS,2488
SNV,416
SNX,882
SO,4145
SOC,34
SOFI,414
SON,6
SOUN,167
SOXL,2213
SOXX,1996
SPAB,431
SPDW,765
SPEM,28
SPG,3076
SPGI,5529
SPHQ,323
SPHY,204
SPIB,623
SPLB,170
SPLG,942
SPLV,1783
SPMD,297
SPMO,181
SPSB,542
SPSM,260
SPTI,430
SPTL,528
SPXC,2509
SPXL,2588
SPY,4755
SPYG,1053
SPYI,59
SPYV,941
SQM,956
SRAD,46
SRE,3434
SRLN,563
SRRK,57
SSB,126
SSD,47
SSNC,1307
SSO,2959
ST,789
STAA,146
STIP,428
STLD,2668
STM,1805
STNE,723
STNG,388
STRL,130
STT,4362
STWD,465
STX,2866
STZ,2700
SU,2896
SUB,312
SVIX,101
SVXY,2053
SW,138
SWK,2306
SWKS,2444
SYF,1407
SYK,4761
SYM,154
SYY,4355
TBBK,9
TCBI,75
TCOM,2869
TD,2342
TDG,2206
TDOC,821
TDS,19
TDW,190
TDY,917
TECH,2422
TECL,2492
TEL,2678
TER,2909
TFC,2903
TGT,6054
THO,942
TIGR,208
TIP,2396
TKO,865
TKR,148
TLH,270
TLN,261
TLT,2903
TMC,39
TME,666
TMHC,252
TMO,3050
TMUS,2098
TNA,2342
TNXP,9
TOL,3255
TOST,462
TPG,139
TPR,3433
TQQQ,2335
TREX,1856
TRGP,1505
TRI,559
TRIP,1313
TRMB,1756
TRON,32
TROW,3705
TRU,1265
TS,2261
TSCO,3874
TSLS,61
TSM,3794
TSSI,40
TT,3756
TTD,1208
TTE,3597
TTEK,2352
TTMI,29
TU,70
TWLO,1050
TXN,7011
TXNM,140
TXT,4181
U,450
UAA,2510
UAL,2596
UBER,772
UBS,1328
UCO,620
UDOW,2295
UEC,195
ULTA,2337
ULTY,27
UMAC,60
UMBF,85
UNP,6518
UPRO,2478
UPST,412
URA,426
URBN,2877
URI,2352
URTH,62
USAR,14
USB,3913
USFD,1159
USFR,467
USHY,704
USIG,348
USMV,1826
USO,1291
UUUU,71
VAL,324
VALE,2898
VB,1698
VBK,534
VBR,931
VBTX,4
VC,412
VCIT,1241
VCLT,636
VCSH,1411
VCTR,14
VEA,2157
VEEV,1367
VEU,1719
VFC,4005
VFH,548
VGIT,505
VGK,2076
VGLT,468
VGSH,599
VGT,1582
VHT,603
VICI,1008
VIG,2226
VIK,76
VKTX,340
VLO,3605
VLTO,118
VLY,165
VMBS,536
VMC,2282
VMI,104
VNET,134
VNQ,2622
VO,1545
VOD,2834
VONG,766
VONV,148
VOO,2198
VOOG,207
VOT,82
VOYA,1490
VRNA,139
VRNS,783
VRSN,3834
VRT,704
VRTX,2818
VSAT,68
VST,1173
VT,1446
VTI,3161
VTR,2523
VTRS,3196
VTV,1976
VTWO,743
VUG,2055
VV,560
VVV,290
VWO,2612
VWOB,35
VXF,657
VXUS,998
VYM,1578
VYMI,79
W,1093
WAB,1805
WAL,564
WBA,4995
WBD,1919
WBS,328
WCC,726
WDC,3337
WEC,2583
WELL,2694
WEX,930
WFC,5437
WFRD,294
WGS,101
WH,579
WHR,2765
WK,125
WLK,1513
WMG,188
WMS,454
WNS,45
WPC,940
WPM,2122
WSC,473
WSM,3901
WSO,667
WST,930
WTFC,99
WTS,20
WTW,1529
WULF,86
WWD,433
WYNN,2744
XBI,2034
XEL,2502
XHB,2751
XLB,3184
XLC,1064
XLE,3011
XLF,3483
XLG,1478
XLI,3033
XLK,3226
XLRE,1363
XLU,3112
XLV,3032
XLY,3113
XME,2287
XOM,5884
XOP,1838
XPO,654
XRT,2641
XYL,1482
XYZ,1331
YETI,645
YINN,338
YMM,357
YOU,88
YUM,4129
YUMC,1026
Z,1166
ZBH,3201
ZBRA,1363
ZBZZT,74
ZETA,150
ZION,2354
ZWS,60
