symbol,entry_date,exit_date,entry_price,exit_price,shares,pnl,return_%,risk_amount,cumulative_pnl,cum_max,drawdown,year,month,week,R_multiple
ABUS,2020-08-05,2020-08-07,3.49,3.8,10,3.1,0.31,19.42663336732043,375.1,375.1,0.0,2020,2020-08,2020-08-03/2020-08-09,0.15957474161296697
AAOI,2020-08-11,2020-08-13,12.85,13.46,6,3.66,0.37,19.76533914904302,378.76000000000005,378.76000000000005,0.0,2020,2020-08,2020-08-10/2020-08-16,0.18517263844557946
ABUS,2020-08-12,2020-08-14,3.2,3.47,11,2.97,0.3,19.53777043577595,381.7300000000001,381.7300000000001,0.0,2020,2020-08,2020-08-10/2020-08-16,0.15201325093684087
AAOI,2020-08-13,2020-08-17,12.44,13.35,6,5.46,0.55,18.51642471072484,387.19000000000005,387.19000000000005,0.0,2020,2020-08,2020-08-17/2020-08-23,0.29487334003726595
ABUS,2020-08-25,2020-08-27,2.8,2.92,19,2.28,0.23,19.808610014973922,389.47,389.47,0.0,2020,2020-08,2020-08-24/2020-08-30,0.11510146336751945
ABUS,2020-09-04,2020-09-09,2.36,2.54,27,4.86,0.49,19.441452272268148,394.33000000000004,394.33000000000004,0.0,2020,2020-09,2020-09-07/2020-09-13,0.24998132505422166
ABUS,2020-09-03,2020-09-09,2.46,2.54,26,2.08,0.21,19.28560942711818,396.41,396.41,0.0,2020,2020-09,2020-09-07/2020-09-13,0.10785243825768026
ACMR,2020-09-09,2020-09-11,18.28,22.12,3,11.52,1.15,19.959262023860333,407.93,407.93,0.0,2020,2020-09,2020-09-07/2020-09-13,0.5771756483896247
ADPT,2020-09-09,2020-09-11,33.7,40.23,2,13.06,1.31,11.034222396935974,420.99,420.99,0.0,2020,2020-09,2020-09-07/2020-09-13,1.1835904271447848
ACMR,2020-09-10,2020-09-14,18.63,23.59,3,14.87,1.49,19.5398358214743,435.86,435.86,0.0,2020,2020-09,2020-09-14/2020-09-20,0.7610094647600802
ACMR,2020-09-11,2020-09-15,18.8,23.79,3,14.97,1.5,18.493352239326867,450.83000000000004,450.83000000000004,0.0,2020,2020-09,2020-09-14/2020-09-20,0.8094800664730587
ABUS,2020-12-04,2020-12-08,3.66,3.79,21,2.73,0.27,19.452957003462252,453.56000000000006,453.56000000000006,0.0,2020,2020-12,2020-12-07/2020-12-13,0.1403385613567188
ABUS,2020-12-10,2020-12-14,3.17,4.88,23,39.33,3.93,19.249314828302204,492.89000000000004,492.89000000000004,0.0,2020,2020-12,2020-12-14/2020-12-20,2.043189607048934
ADNWW,2020-12-16,2020-12-18,1.83,2.16,23,7.59,0.76,19.77476149850702,500.48,500.48,0.0,2020,2020-12,2020-12-14/2020-12-20,0.38382258115087964
ABUS,2020-12-23,2020-12-29,3.76,3.5,15,-3.9,-0.39,19.084831676834217,496.58000000000004,500.48,-3.8999999999999773,2020,2020-12,2020-12-28/2021-01-03,-0.20435076745968608
ABUS,2020-12-30,2021-01-04,3.26,3.64,18,6.84,0.68,19.207179675805108,503.42,503.42,0.0,2021,2021-01,2021-01-04/2021-01-10,0.35611683315568754
ADNWW,2021-01-07,2021-01-11,2.74,3.27,17,9.01,0.9,19.43877402172324,512.4300000000001,512.4300000000001,0.0,2021,2021-01,2021-01-11/2021-01-17,0.463506597171773
ADNWW,2021-01-26,2021-01-29,2.98,2.83,17,-2.55,-0.25,19.23900461162308,509.88000000000005,512.4300000000001,-2.5500000000000114,2021,2021-01,2021-01-25/2021-01-31,-0.13254323970895246
ADNWW,2021-01-28,2021-02-02,2.73,3.7,18,17.46,1.75,19.895525719850852,527.34,527.34,0.0,2021,2021-02,2021-02-01/2021-02-07,0.8775842491349302
AACG,2021-02-10,2021-02-16,5.78,5.9,3,0.36,0.04,17.58676211950431,527.7,527.7,0.0,2021,2021-02,2021-02-15/2021-02-21,0.020469941968496174
AAME,2021-02-12,2021-02-17,4.84,5.47,5,3.16,0.32,18.393164217483164,530.86,530.86,0.0,2021,2021-02,2021-02-15/2021-02-21,0.17180295693746597
ADNWW,2021-02-12,2021-02-18,2.82,2.19,15,-9.45,-0.94,19.070764835206518,521.41,530.86,-9.450000000000045,2021,2021-02,2021-02-15/2021-02-21,-0.495522863485494
ADNWW,2021-02-18,2021-02-22,1.95,2.41,15,6.9,0.69,19.244908814865553,528.31,530.86,-2.550000000000068,2021,2021-02,2021-02-22/2021-02-28,0.3585363831222811
ADNWW,2021-02-17,2021-02-22,2.55,2.41,16,-2.24,-0.22,19.09678081761843,526.0699999999999,530.86,-4.790000000000077,2021,2021-02,2021-02-22/2021-02-28,-0.11729725661057001
ADNWW,2021-02-19,2021-02-23,2.04,2.23,15,2.85,0.28,19.232917933378996,528.92,530.86,-1.9400000000000546,2021,2021-02,2021-02-22/2021-02-28,0.14818344308815384
AACG,2021-02-24,2021-02-26,4.15,5.05,5,4.5,0.45,16.77562144502506,533.42,533.42,0.0,2021,2021-02,2021-02-22/2021-02-28,0.26824639640008746
AAME,2021-02-24,2021-02-26,4.06,4.42,7,2.54,0.25,19.280726739453367,535.9599999999999,535.9599999999999,0.0,2021,2021-02,2021-02-22/2021-02-28,0.13173777287152258
ACMR,2021-03-02,2021-03-05,33.38,29.37,1,-4.01,-0.4,10.641413606806001,531.9499999999999,535.9599999999999,-4.009999999999991,2021,2021-03,2021-03-01/2021-03-07,-0.3768296344984934
ABUS,2021-03-02,2021-03-05,3.57,3.3,20,-5.4,-0.54,19.545859100643597,526.55,535.9599999999999,-9.409999999999968,2021,2021-03,2021-03-01/2021-03-07,-0.27627335141396736
ACMR,2021-03-03,2021-03-08,29.39,27.07,1,-2.32,-0.23,10.7082722461254,524.2299999999999,535.9599999999999,-11.730000000000018,2021,2021-03,2021-03-08/2021-03-14,-0.2166549324368785
AAME,2021-03-05,2021-03-09,3.36,3.76,10,4.0,0.4,18.434877890039502,528.2299999999999,535.9599999999999,-7.730000000000018,2021,2021-03,2021-03-08/2021-03-14,0.21698001060051658
AACG,2021-03-05,2021-03-10,3.96,4.5,8,4.32,0.43,18.488386194366413,532.55,535.9599999999999,-3.409999999999968,2021,2021-03,2021-03-08/2021-03-14,0.23366019914254849
AACG,2021-03-09,2021-03-11,3.73,4.78,9,9.45,0.95,19.117566919616394,542.0,542.0,0.0,2021,2021-03,2021-03-08/2021-03-14,0.49430976440330515
AAME,2021-03-09,2021-03-11,3.27,4.32,11,11.59,1.16,18.7135312000252,553.59,553.59,0.0,2021,2021-03,2021-03-08/2021-03-14,0.6193379472915508
